gene,log2FC,pvalue,mean_cancer,mean_normal,FDR
VPS41,0.10884083374850206,0.05222196648843353,7.724802426748503,7.615961593000001,0.10030545611613156
VPS45,-0.16386152098789175,0.00042205116085096477,7.661892217167664,7.825753738155556,0.00122203626427108
VPS4A,-0.3638724472652006,3.0221645777264294e-07,7.840189719712575,8.204062166977776,1.360360526035426e-06
VPS4B,-1.0681691277091154,4.84805137890544e-19,9.756712713335329,10.824881841044444,9.637134278832012e-18
VPS51,-0.3426219186641397,4.1671827870962535e-06,8.823893296958083,9.166515215622223,1.617664441275234e-05
VPS52,-0.2537182004850287,3.7674991636185996e-06,8.752833858514972,9.006552059,1.4720010393373216e-05
VPS53,-0.47617325821343925,5.921661275536039e-06,5.03387987427545,5.510053132488889,2.2442870628501665e-05
VPS54,-0.13037440571669556,0.008244443858929354,8.289113085461079,8.419487491177774,0.019063453814280304
VPS72,0.5257150834562863,1.2371190110134104e-20,7.543889209856288,7.018174126400002,3.001620675714404e-19
VPS8,0.1931206447646039,3.149073035587375e-05,7.773343327586827,7.580222682822223,0.00010818437095231103
VPS9D1,-0.37148965706932824,0.0007883192784827125,4.707100618886227,5.0785902759555555,0.002195052341692158
VPS9D1-AS1,0.0023501458552224186,0.6530563478177345,1.4990278146107783,1.4966776687555559,0.756170507999482
VRK1,0.39990672971497077,0.0003230109693705798,8.560186943514971,8.1602802138,0.0009537348018065383
VRK2,0.254709647022489,0.0008277531048323999,8.327278846311378,8.072569199288889,0.002292856057937689
VRK3,0.019239586916300233,0.7174090245247238,6.877632987071856,6.858393400155556,0.8060854727263016
VRTN,-0.026054588133732626,0.5055929592554509,2.599860923532934,2.625915511666667,0.6327844899560764
